'FAMILIENNAME':'VORNAMEN':'KLASSE':'RELIGION_ETHIK':'_FREMDSPRACHE':'AUSBILDUNGSR':'VORJAHR_KLASSE'
'Krödel':'Kay-Michael Hans Rudolf Klaus':'05A':'RK':'L   ':'GY':'GY  04GEIN'
'Möckl':'Valentin Robert':'05A':'RK':'L   ':'GY':'GY  04GEIN'
'Schwab-Möritz':'Adelina Alicia':'10B':'Eth':'E   L   F   ':'SG':'GY  09B'
'Börgerding':'Frederieke':'Q11':'RK':'E   F   Sps ':'K':'GY  10D'
'Bösmeier':'Christina Caroline':'Q11':'RK':'E   F   Sps ':'K':'GY  10D'
'Bollinger':'Patrick':'Q11':'RK':'E   L   Sps ':'K':'GY  10D'
'Born':'Andreas Ferdinand':'Q11':'EV':'E   F   ':'K':'GY  10F'
'Brock':'Jana Katharina':'Q11':'EV':'E   F   Sps ':'K':'GY  10E'
'Brossmann':'Sebastian':'Q11':'RK':'E   L   ':'K':'GY  10C'
'Brücker':'Miguel Anthony':'Q11':'EV':'E   F   Sps ':'K':'GY  10E'
'Brunner':'Nick Lennart':'Q11':'RK':'E   F   ':'K':'GY  10F'
'Burkhard':'Margareta':'Q11':'RK':'E   F   Sps ':'K':'GY  10D'
'Burtscher':'Felicia Veronika Safaa':'Q11':'RK':'E   L   F   Sps ':'K':'GY  10A'
'Busch':'Dominik':'Q11':'RK':'E   L   ':'K':'GY  10C'
'Deibert':'Lisa':'Q11':'EV':'E   F   ':'K':'GY  10B'
'Winter':'Tobias Christian':'Q11':'RK':'E   L   ':'K':'GY  10C'
'Wittmann':'Daniel':'Q11':'RK':'E   L   ':'K':'GY  10C'
'Wurster':'Beatrice Catarina Maureen':'Q11':'RK':'L   E   ':'K':'GY  10D'
'Wutte':'Katharina Theresa':'Q11':'RK':'E   F   Sps ':'K':'GY  10E'
'Zankel':'Catharina':'Q11':'EV':'E   L   F   Sps ':'K':'GY  10A'
'Zeitler':'Tatjana':'Q11':'EV':'E   L   F   ':'K':'GY  10A'
'Zoch':'Lara-Leonie Anna Clara':'Q11':'RK':'E   L   F   ':'K':'GY  10A'
'Zörntlein':'Kilian':'Q11':'RK':'E   F   ':'K':'GY  10F'
